"u","v"
-124.6584244,25.19295502
-124.4084244,25.19295502
-124.1584244,25.19295502
-123.9084244,25.19295502
-123.6584244,25.19295502
-123.4084244,25.19295502
-123.1584244,25.19295502
-122.9084244,25.19295502
-122.6584244,25.19295502
-122.4084244,25.19295502
-122.1584244,25.19295502
-121.9084244,25.19295502
-121.6584244,25.19295502
-121.4084244,25.19295502
-121.1584244,25.19295502
-120.9084244,25.19295502
-120.6584244,25.19295502
-120.4084244,25.19295502
-120.1584244,25.19295502
-119.9084244,25.19295502
-119.6584244,25.19295502
-119.4084244,25.19295502
-119.1584244,25.19295502
-118.9084244,25.19295502
-118.6584244,25.19295502
-118.4084244,25.19295502
-118.1584244,25.19295502
-117.9084244,25.19295502
-117.6584244,25.19295502
-117.4084244,25.19295502
-117.1584244,25.19295502
-116.9084244,25.19295502
-116.6584244,25.19295502
-116.4084244,25.19295502
-116.1584244,25.19295502
-115.9084244,25.19295502
-115.6584244,25.19295502
-115.4084244,25.19295502
-115.1584244,25.19295502
-114.9084244,25.19295502
-114.6584244,25.19295502
-114.4084244,25.19295502
-114.1584244,25.19295502
-113.9084244,25.19295502
-113.6584244,25.19295502
-113.4084244,25.19295502
-113.1584244,25.19295502
-112.9084244,25.19295502
-112.6584244,25.19295502
-112.4084244,25.19295502
-112.1584244,25.19295502
-111.9084244,25.19295502
-111.6584244,25.19295502
-111.4084244,25.19295502
-111.1584244,25.19295502
-110.9084244,25.19295502
-110.6584244,25.19295502
-110.4084244,25.19295502
-110.1584244,25.19295502
-109.9084244,25.19295502
-109.6584244,25.19295502
-109.4084244,25.19295502
-109.1584244,25.19295502
-108.9084244,25.19295502
-108.6584244,25.19295502
-108.4084244,25.19295502
-108.1584244,25.19295502
-107.9084244,25.19295502
-107.6584244,25.19295502
-107.4084244,25.19295502
-107.1584244,25.19295502
-106.9084244,25.19295502
-106.6584244,25.19295502
-106.4084244,25.19295502
-106.1584244,25.19295502
-105.9084244,25.19295502
-105.6584244,25.19295502
-105.4084244,25.19295502
-105.1584244,25.19295502
-104.9084244,25.19295502
-104.6584244,25.19295502
-104.4084244,25.19295502
-104.1584244,25.19295502
-103.9084244,25.19295502
-103.6584244,25.19295502
-103.4084244,25.19295502
-103.1584244,25.19295502
-102.9084244,25.19295502
-102.6584244,25.19295502
-102.4084244,25.19295502
-102.1584244,25.19295502
-101.9084244,25.19295502
-101.6584244,25.19295502
-101.4084244,25.19295502
-101.1584244,25.19295502
-100.9084244,25.19295502
-100.6584244,25.19295502
-100.4084244,25.19295502
-100.1584244,25.19295502
-99.9084244,25.19295502
-99.6584244,25.19295502
-99.4084244,25.19295502
-99.1584244,25.19295502
-98.9084244,25.19295502
-98.6584244,25.19295502
-98.4084244,25.19295502
-98.1584244,25.19295502
-97.9084244,25.19295502
-97.6584244,25.19295502
-97.4084244,25.19295502
-97.1584244,25.19295502
-96.9084244,25.19295502
-96.6584244,25.19295502
-96.4084244,25.19295502
-96.1584244,25.19295502
-95.9084244,25.19295502
-95.6584244,25.19295502
-95.4084244,25.19295502
-95.1584244,25.19295502
-94.9084244,25.19295502
-94.6584244,25.19295502
-94.4084244,25.19295502
-94.1584244,25.19295502
-93.9084244,25.19295502
-93.6584244,25.19295502
-93.4084244,25.19295502
-93.1584244,25.19295502
-92.9084244,25.19295502
-92.6584244,25.19295502
-92.4084244,25.19295502
-92.1584244,25.19295502
-91.9084244,25.19295502
-91.6584244,25.19295502
-91.4084244,25.19295502
-91.1584244,25.19295502
-90.9084244,25.19295502
-90.6584244,25.19295502
-90.4084244,25.19295502
-90.1584244,25.19295502
-89.9084244,25.19295502
-89.6584244,25.19295502
-89.4084244,25.19295502
-89.1584244,25.19295502
-88.9084244,25.19295502
-88.6584244,25.19295502
-88.4084244,25.19295502
-88.1584244,25.19295502
-87.9084244,25.19295502
-87.6584244,25.19295502
-87.4084244,25.19295502
-87.1584244,25.19295502
-86.9084244,25.19295502
-86.6584244,25.19295502
-86.4084244,25.19295502
-86.1584244,25.19295502
-85.9084244,25.19295502
-85.6584244,25.19295502
-85.4084244,25.19295502
-85.1584244,25.19295502
-84.9084244,25.19295502
-84.6584244,25.19295502
-84.4084244,25.19295502
-84.1584244,25.19295502
-83.9084244,25.19295502
